bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1934029,2160,HR89,1,Introduced,2025-01-22,"Commemorating the centennial of the city of Lewisville.","Commemorating the centennial of the city of Lewisville.",0,,2025-01-22,Filed,https://legiscan.com/TX/bill/HR89/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR89
1933911,2160,HR90,1,Introduced,2025-01-22,"Congratulating Gregory Cline and Chloe Beck on their wedding.","Congratulating Gregory Cline and Chloe Beck on their wedding.",0,,2025-01-22,Filed,https://legiscan.com/TX/bill/HR90/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR90
1934681,2160,HR91,1,Introduced,2025-01-22,"Congratulating the Brazoswood High School girls' water polo team on winning the 2024 UIL 6A state championship.","Congratulating the Brazoswood High School girls' water polo team on winning the 2024 UIL 6A state championship.",0,,2025-01-22,Filed,https://legiscan.com/TX/bill/HR91/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR91
1935036,2160,HR92,1,Introduced,2025-01-22,"In memory of Sharron Lea Hoff Stewart of Lake Jackson.","In memory of Sharron Lea Hoff Stewart of Lake Jackson.",0,,2025-01-22,Filed,https://legiscan.com/TX/bill/HR92/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR92
1935743,2160,HR93,1,Introduced,2025-01-22,"In memory of Inda Sorrels Williams of Marble Falls.","In memory of Inda Sorrels Williams of Marble Falls.",0,,2025-01-22,Filed,https://legiscan.com/TX/bill/HR93/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR93
1936876,2160,HR94,1,Introduced,2025-01-23,"In memory of Jose Maria Longoria Sr. of Starr County.","In memory of Jose Maria Longoria Sr. of Starr County.",0,,2025-01-23,Filed,https://legiscan.com/TX/bill/HR94/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR94
1937155,2160,HR95,1,Introduced,2025-01-23,"In memory of Andrew H. Villarreal of San Antonio.","In memory of Andrew H. Villarreal of San Antonio.",0,,2025-01-23,Filed,https://legiscan.com/TX/bill/HR95/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR95
1938095,2160,HR96,1,Introduced,2025-01-23,"In memory of Gilbert J. Riojas III of Corpus Christi.","In memory of Gilbert J. Riojas III of Corpus Christi.",0,,2025-01-23,Filed,https://legiscan.com/TX/bill/HR96/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR96
1938568,2160,HR97,4,Passed,2025-01-29,"Recognizing January 29, 2025, as Alpha Kappa Alpha Day at the State Capitol.","Recognizing January 29, 2025, as Alpha Kappa Alpha Day at the State Capitol.",0,,2025-01-29,"Reported enrolled",https://legiscan.com/TX/bill/HR97/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR97
1940661,2160,HR98,1,Introduced,2025-01-24,"Recognizing February 18, 2025, as Hardin County Day at the State Capitol.","Recognizing February 18, 2025, as Hardin County Day at the State Capitol.",0,,2025-01-24,Filed,https://legiscan.com/TX/bill/HR98/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR98
1941095,2160,HR99,1,Introduced,2025-01-24,"Recognizing February 6, 2025, as San Jacinto County Day at the State Capitol.","Recognizing February 6, 2025, as San Jacinto County Day at the State Capitol.",0,,2025-01-24,Filed,https://legiscan.com/TX/bill/HR99/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR99
1940939,2160,HR100,1,Introduced,2025-01-24,"Recognizing March 4, 2025, as Montgomery County Day at the State Capitol.","Recognizing March 4, 2025, as Montgomery County Day at the State Capitol.",0,,2025-01-24,Filed,https://legiscan.com/TX/bill/HR100/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR100
1940095,2160,HR101,1,Introduced,2025-01-24,"Recognizing February 19, 2025, as Liberty County Day at the State Capitol.","Recognizing February 19, 2025, as Liberty County Day at the State Capitol.",0,,2025-01-24,Filed,https://legiscan.com/TX/bill/HR101/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR101
1941661,2160,HR102,1,Introduced,2025-01-24,"Commemorating the 100th anniversary of the Greater Taylor Chamber of Commerce.","Commemorating the 100th anniversary of the Greater Taylor Chamber of Commerce.",0,,2025-01-24,Filed,https://legiscan.com/TX/bill/HR102/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR102
1941445,2160,HR103,1,Introduced,2025-01-24,"Commemorating the 75th anniversary of Texas Baptist Children's Home in Round Rock.","Commemorating the 75th anniversary of Texas Baptist Children's Home in Round Rock.",0,,2025-01-24,Filed,https://legiscan.com/TX/bill/HR103/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR103
1941581,2160,HR104,1,Introduced,2025-01-24,"Commemorating the 189th anniversary of the Battle of San Jacinto.","Commemorating the 189th anniversary of the Battle of San Jacinto.",0,,2025-01-24,Filed,https://legiscan.com/TX/bill/HR104/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR104
1941479,2160,HR105,1,Introduced,2025-01-24,"Commemorating the 190th anniversary of the Battle of San Jacinto.","Commemorating the 190th anniversary of the Battle of San Jacinto.",0,,2025-01-24,Filed,https://legiscan.com/TX/bill/HR105/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR105
1942208,2160,HR106,4,Passed,2025-01-28,"Recognizing January 28, 2025, as Dimmit County Day at the State Capitol.","Recognizing January 28, 2025, as Dimmit County Day at the State Capitol.",0,,2025-01-28,"Reported enrolled",https://legiscan.com/TX/bill/HR106/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR106
1941900,2160,HR107,1,Introduced,2025-01-27,"Commemorating the 180th anniversary of the Galveston Regional Chamber of Commerce.","Commemorating the 180th anniversary of the Galveston Regional Chamber of Commerce.",0,,2025-01-27,Filed,https://legiscan.com/TX/bill/HR107/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR107
1941989,2160,HR108,1,Introduced,2025-01-27,"Recognizing March 6, 2025, as Galveston County Day at the State Capitol.","Recognizing March 6, 2025, as Galveston County Day at the State Capitol.",0,,2025-01-27,Filed,https://legiscan.com/TX/bill/HR108/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR108
1942127,2160,HR109,1,Introduced,2025-01-27,"Recognizing February 12, 2025, as Chambers County Day at the State Capitol.","Recognizing February 12, 2025, as Chambers County Day at the State Capitol.",0,,2025-01-27,Filed,https://legiscan.com/TX/bill/HR109/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR109
1942004,2160,HR110,4,Passed,2025-01-28,"Recognizing Texas Society of Certified Public Accountants Advocacy Day at the State Capitol on January 28, 2025.","Recognizing Texas Society of Certified Public Accountants Advocacy Day at the State Capitol on January 28, 2025.",0,,2025-01-28,"Reported enrolled",https://legiscan.com/TX/bill/HR110/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR110
1942550,2160,HR111,1,Introduced,2025-01-27,"Commemorating the 189th anniversary of the adoption of the Texas Declaration of Independence on March 2, 2025.","Commemorating the 189th anniversary of the adoption of the Texas Declaration of Independence on March 2, 2025.",0,,2025-01-27,Filed,https://legiscan.com/TX/bill/HR111/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR111
1942464,2160,HR112,1,Introduced,2025-01-27,"Commemorating the 190th anniversary of the adoption of the Texas Declaration of Independence on March 2, 2026.","Commemorating the 190th anniversary of the adoption of the Texas Declaration of Independence on March 2, 2026.",0,,2025-01-27,Filed,https://legiscan.com/TX/bill/HR112/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR112
1942578,2160,HR113,1,Introduced,2025-01-27,"Recognizing January 29, 2025, as Leadership Corpus Christi Day at the State Capitol.","Recognizing January 29, 2025, as Leadership Corpus Christi Day at the State Capitol.",0,,2025-01-27,Filed,https://legiscan.com/TX/bill/HR113/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR113
1942492,2160,HR114,4,Passed,2025-01-27,"Commemorating January 27, 2025, as International Holocaust Remembrance Day.","Commemorating January 27, 2025, as International Holocaust Remembrance Day.",0,,2025-01-27,"Reported enrolled",https://legiscan.com/TX/bill/HR114/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR114
1942352,2160,HR115,1,Introduced,2025-01-27,"Recognizing January 30, 2025, as Grandparents Raising Grandchildren Day at the State Capitol and honoring the nonprofit Texas Grandparents Raising Grandchildren for its contributions to the State of Texas.","Recognizing January 30, 2025, as Grandparents Raising Grandchildren Day at the State Capitol and honoring the nonprofit Texas Grandparents Raising Grandchildren for its contributions to the State of Texas.",0,,2025-01-27,Filed,https://legiscan.com/TX/bill/HR115/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR115
1942379,2160,HR116,1,Introduced,2025-01-27,"Commemorating January 27, 2025, as International Holocaust Remembrance Day.","Commemorating January 27, 2025, as International Holocaust Remembrance Day.",0,,2025-01-27,Filed,https://legiscan.com/TX/bill/HR116/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR116
1942779,2160,HR117,1,Introduced,2025-01-27,"Recognizing February 5, 2025, as Maverick County and Eagle Pass Day at the State Capitol.","Recognizing February 5, 2025, as Maverick County and Eagle Pass Day at the State Capitol.",0,,2025-01-27,Filed,https://legiscan.com/TX/bill/HR117/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR117
1942663,2160,HR118,4,Passed,2025-01-28,"Recognizing January 28, 2025, as Leadership Frisco Class XXVIII Day at the State Capitol.","Recognizing January 28, 2025, as Leadership Frisco Class XXVIII Day at the State Capitol.",0,,2025-01-28,"Reported enrolled",https://legiscan.com/TX/bill/HR118/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR118
1943823,2160,HR119,4,Passed,2025-01-28,"Recognizing January 28, 2025, as UTHealth Houston Legislative Day at the State Capitol.","Recognizing January 28, 2025, as UTHealth Houston Legislative Day at the State Capitol.",0,,2025-01-28,"Reported enrolled",https://legiscan.com/TX/bill/HR119/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR119
