bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1891517,3028080,text,9358,text/html,Introduced,https://legiscan.com/TX/text/HB947/id/3028080,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00947I.htm
1890863,3027721,text,13008,text/html,Introduced,https://legiscan.com/TX/text/HB948/id/3027721,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00948I.htm
1891499,3027589,text,12234,text/html,Introduced,https://legiscan.com/TX/text/HB949/id/3027589,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00949I.htm
1891088,3027708,text,21768,text/html,Introduced,https://legiscan.com/TX/text/HB950/id/3027708,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00950I.htm
1891639,3027129,text,139209,text/html,Introduced,https://legiscan.com/TX/text/HB951/id/3027129,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00951I.htm
1890390,3027733,text,12562,text/html,Introduced,https://legiscan.com/TX/text/HB952/id/3027733,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00952I.htm
1891397,3027730,text,5538,text/html,Introduced,https://legiscan.com/TX/text/HB953/id/3027730,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00953I.htm
1891175,3026784,text,5522,text/html,Introduced,https://legiscan.com/TX/text/HB954/id/3026784,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00954I.htm
1890609,3027452,text,58602,text/html,Introduced,https://legiscan.com/TX/text/HB955/id/3027452,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00955I.htm
1891022,3026672,text,21634,text/html,Introduced,https://legiscan.com/TX/text/HB956/id/3026672,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00956I.htm
1890316,3027792,text,98762,text/html,Introduced,https://legiscan.com/TX/text/HB957/id/3027792,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00957I.htm
1891241,3028022,text,6752,text/html,Introduced,https://legiscan.com/TX/text/HB958/id/3028022,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00958I.htm
1890695,3026444,text,4429,text/html,Introduced,https://legiscan.com/TX/text/HB959/id/3026444,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00959I.htm
1890314,3027710,text,72990,text/html,Introduced,https://legiscan.com/TX/text/HB960/id/3027710,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00960I.htm
