bill_id,people_id,position
1890463,16846,1
1890464,5920,1
1890465,16842,1
1890466,14990,1
1890467,5903,1
1890468,23145,1
1890469,20240,1
1890470,18029,1
1890471,5949,1
1890472,15409,1
1890473,20230,1
1890474,20230,1
1890475,17365,1
1890476,14990,1
1890477,24094,1
1890478,22376,1
1890479,16346,1
1890480,24080,1
1890481,5949,1
1890482,14046,1
1890483,20230,1
1890484,21336,1
1890485,20235,1
1890486,11013,1
1890487,22437,1
1890488,21336,1
1890489,15409,1
1890490,24085,1
1890491,18029,1
1890492,14990,1
1890493,24080,1
1890494,11598,1
1890495,17365,1
1890496,18680,1
1890497,17365,1
1890498,23179,1
1890499,15409,1
1890500,20235,1
1890501,17365,1
1890502,22431,1
1890503,18680,1
1890504,24075,1
1890505,21336,1
1890506,5903,1
1890507,14783,1
1890508,5903,1
1890509,17365,1
1890510,11599,1
1890511,20230,1
1890512,24089,1
1890513,14046,1
1890514,5949,1
1890515,20235,1
1890516,14990,1
1890517,17365,1
1890518,5971,1
1890519,24084,1
1890520,23342,1
1890521,5903,1
1890522,24075,1
1890523,14783,1
1890524,22896,1
1890525,20230,1
1890526,20230,1
1890527,17984,1
1890528,20805,1
1890529,23184,1
1890530,17631,1
1890531,16346,1
1890532,24089,1
1890533,20015,1
1890534,24078,1
1890535,5997,1
1890536,19686,1
1890537,21336,1
1890538,5920,1
1890539,6032,1
1890539,25224,2
1890540,5949,1
1890541,14046,1
1890542,19319,1
1890543,20235,1
1890544,14568,1
1890545,25226,1
1890546,18680,1
1890547,5904,4
1890547,5949,5
1890547,6032,7
1890547,11599,6
1890547,20805,1
1890547,21679,3
1890547,25224,2
1890548,18675,1
1890549,20235,1
1890550,5944,1
1890551,20240,1
1890552,22376,1
1890553,25226,1
1890554,18029,1
1890555,14568,1
1890556,23342,1
1890557,19319,1
1890559,22955,1
1890560,5971,1
1890561,24090,1
1890562,17631,1
1890563,11013,1
1890564,11013,1
1890565,24086,1
1890566,24089,1
1890567,16847,1
1890568,20240,1
1890569,25226,1
1890570,15409,1
1890571,20240,1
1890572,17984,1
1890573,21336,1
1890574,20241,1
1890575,22955,1
1890576,20230,1
1890577,22433,1
1890578,5904,4
1890578,5949,1
1890578,6032,6
1890578,16834,2
1890578,20805,5
1890578,21679,3
1890579,23384,1
1890580,5875,1
1890581,16346,1
1890582,23190,1
1890583,21683,1
1890584,5850,2
1890584,5904,6
1890584,5949,1
1890584,16834,3
1890584,21679,5
1890584,25224,4
1890585,14783,1
1890586,5949,1
1890587,24094,1
1890588,17365,1
1890589,22433,1
1890590,17365,1
1890591,20230,1
1890592,24080,1
1890593,19686,1
1890594,23145,1
1890595,23179,1
1890596,20173,1
1890597,14046,1
1890598,6032,1
1890599,5904,5
1890599,5949,1
1890599,16834,2
1890599,21679,4
1890599,25224,3
1890600,18029,1
1890601,20246,1
1890602,17984,1
1890603,22376,1
1890604,22376,1
1890605,19686,1
1890606,16526,1
1890607,22955,1
1890608,20232,1
1890609,15409,1
1890610,6029,1
1890611,19686,1
1890612,24077,1
1890613,23145,1
1890614,20230,1
1890615,17631,1
1890616,21683,1
1890617,22896,1
1890618,11599,1
1890619,21335,1
1890620,5903,1
1890621,6032,1
1890622,24080,1
1890623,20230,1
1890624,19319,1
1890625,18682,1
1890626,5971,1
1890627,22376,1
1890628,21335,1
1890629,20246,1
1890630,14568,1
1890631,5954,1
1890632,17365,1
1890633,6032,1
1890634,17365,1
1890635,19319,1
1890636,18674,1
1890637,5903,1
1890638,5920,1
1890639,15409,1
1890640,5954,1
1890641,11013,1
1890642,20232,1
1890643,19959,1
1890644,14568,1
1890645,24080,1
1890646,24089,1
1890647,14990,1
1890648,21335,1
1890649,24079,1
1890650,20228,1
1890651,17365,1
1890651,19730,2
1890652,11346,1
1890653,11599,1
1890654,5944,1
1890655,17631,1
1890656,22955,1
1890657,5971,1
1890658,19319,1
1890659,11013,1
1890660,19319,1
1890661,20230,1
1890662,5949,1
1890663,6032,1
1890664,5904,5
1890664,5949,1
1890664,16834,2
1890664,21679,4
1890664,25224,3
1890665,14046,1
1890666,15629,1
1890668,11013,1
1890669,21335,1
1890670,5904,5
1890670,5949,1
1890670,6032,6
1890670,16834,2
1890670,21679,4
1890670,25224,3
1890671,17631,1
1890672,23190,1
1890673,5997,1
1890674,17365,1
1890675,11013,1
1890676,24075,1
1890677,22376,1
1890678,5949,1
1890679,5904,5
1890679,5949,1
1890679,16834,2
1890679,21679,4
1890679,25224,3
1890680,17365,1
1890681,14046,1
1890682,24079,1
1890683,6015,1
1890684,23342,1
1890685,24075,1
1890686,14990,1
1890687,5921,1
1890688,23342,1
1890689,14046,1
1890690,18674,1
1890691,23179,1
1890692,23342,1
1890693,5949,1
1890694,5850,1
1890695,16846,1
1890696,6032,1
1890697,18680,1
1890698,19319,1
1890699,20230,1
1890700,15409,1
1890701,24080,1
1890702,17365,1
1890703,24089,1
1890704,23384,1
1890705,23384,1
1890706,23190,1
1890707,25227,1
1890708,17631,1
1890709,16846,1
1890710,19319,1
1890711,6032,1
1890712,6032,1
1890713,20232,1
1890714,22955,1
1890715,16847,1
1890716,16846,1
1890717,18680,1
1890718,6032,1
1890719,15409,1
1890720,15409,1
1890721,20235,1
1890722,18674,1
1890723,19319,1
1890724,20240,1
1890725,20235,1
1890726,22433,1
1890727,5903,1
1890728,24077,1
1890729,22955,1
1890730,23342,1
1890731,16847,1
1890732,22376,1
1890733,11013,1
1890734,23342,1
1890735,22433,1
1890736,23342,1
1890737,20230,1
1890738,22437,1
1890739,6029,1
1890740,5971,1
1890741,22376,1
1890742,14046,1
1890743,23342,1
1890744,5903,1
1890745,11013,1
1890746,20246,1
1890747,22955,1
1890748,22376,1
1890749,20235,1
1890750,5850,2
1890750,5904,4
1890750,5949,6
1890750,11599,7
1890750,20805,5
1890750,21679,1
1890750,25224,3
1890751,14046,1
1890752,19959,1
1890753,19686,1
1890754,24080,1
1890755,20173,1
1890756,19730,1
1890757,14990,1
1890758,22955,1
1890759,5949,1
1890760,16847,1
1890761,5903,1
1890762,23145,1
1890763,19319,1
1890764,6029,1
1890765,5903,1
1890766,11599,1
1890767,22376,1
1890768,20234,1
1890769,22136,1
1890770,6032,1
1890771,17576,1
1890772,23120,1
1890773,14046,1
1890774,5954,1
1890775,6029,1
1890777,23120,1
1890778,5933,1
1890779,5921,1
1890780,18680,1
1890781,22376,1
1890782,20240,1
1890783,24089,1
1890784,14046,1
1890785,21636,1
1890786,5903,1
1890787,5920,1
1890788,11599,1
1890788,25224,2
1890789,5954,1
1890790,14568,1
1890791,22437,1
1890792,18029,1
1890793,11013,1
1890794,17365,1
1890795,11599,1
1890796,5971,1
1890797,21335,1
1890798,22376,1
1890799,23384,1
1890800,17365,1
1890801,18682,1
1890802,6032,1
1890803,24094,1
1890804,20248,1
1890805,11015,1
1890806,11013,1
1890807,23179,1
1890808,22955,1
1890809,17631,1
1890810,23120,1
1890811,18682,1
1890812,23179,1
1890813,19319,1
1890814,21335,1
1890815,11013,1
1890816,18680,1
1890817,20805,1
1890818,18029,1
1890819,23106,1
1890820,14990,1
1890821,17576,1
1890822,5903,1
1890823,18029,1
1890824,5903,1
1890825,17365,1
1890826,5920,1
1890827,5904,5
1890827,5949,1
1890827,16834,2
1890827,20805,6
1890827,21679,4
1890827,25224,3
1890828,21335,1
1890829,6032,1
1890830,22433,1
1890831,20241,1
1890832,20805,1
1890833,11013,1
1890834,20248,1
1890835,17365,1
1890836,16846,1
1890837,14047,1
1890838,14046,1
1890839,18674,1
1890840,5971,1
1890841,17365,1
1890842,5997,1
1890843,6032,1
1890844,21336,1
1890845,19686,1
1890846,5954,1
1890847,23179,1
1890848,18029,1
1890849,20230,1
1890850,14046,1
1890851,11015,1
1890852,24085,1
1890853,24089,1
1890854,5949,1
1890855,22376,1
1890856,5949,1
1890857,5903,1
1890858,17365,1
1890859,23190,1
1890860,16847,1
1890861,18675,1
1890862,5875,3
1890862,5929,5
1890862,11015,6
1890862,16267,2
1890862,17365,4
1890862,20015,1
1890863,22955,1
1890864,5949,1
1890865,14990,1
1890866,11598,1
1890867,15409,1
1890868,6015,1
1890869,19319,1
1890870,15409,1
1890871,5903,1
1890872,22433,1
1890873,16847,1
1890874,24094,1
1890875,15629,1
1890876,22955,1
1890877,11598,1
1890878,5949,1
1890879,20234,1
1890880,25225,1
1890881,14568,1
1890882,14990,1
1890883,23184,1
1890884,25229,1
1890886,18029,1
1890887,22955,1
1890888,16842,1
1890889,14046,1
1890890,20230,1
1890891,24085,1
1890892,5850,2
1890892,11599,1
1890892,25224,3
1890893,11598,1
1890894,22433,1
1890895,18674,1
1890896,17631,1
1890897,20232,1
1890898,5903,1
1890899,20230,1
1890900,17365,1
1890901,24080,1
1890902,18680,1
1890903,20246,1
1890904,11013,1
1890905,20240,1
